Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
new hampshire democratic rep ann kuster to retire from congress,3/27/2024,Washington Post,2
new hampshire is the whole ballgame,1/17/2024,Politico,2
"new hampshire primary, nikki haley, donald trump, abortion, biden, israel-hamas war, oscars, ukraine",1/24/2024,USATODAY,2
new hampshire showed trump’s strengths and weaknesses,1/24/2024,New York Times,2
new israeli evacuation order in gaza displaces palestinians again,7/27/2024,New York Times,2
new israeli intelligence suggests iran prepares to attack israel within days: sources,8/11/2024,Axios,2
new israeli proposal calls for release of 40 hostages,12/20/2023,Politico,2
new jersey democrats once again flex their power in choosing pascrell replacement,8/30/2024,Politico,2
"new lawsuit: fights over migrants, neo-nazi arrests inside desantis administration",6/21/2024,Politico,2
new middle east war delivers a new threat to world economy,10/9/2023,Politico,2
"new pause in gaza fighting, more hostage releases now on the table",11/28/2023,Axios,2
new plan pushes for buffer zone in gaza,2/23/2024,USATODAY,2
new pollution rules for trucks,3/29/2024,New York Times,2
new resources for teaching about the israel-hamas war,1/25/2024,New York Times,2
new senator gets red carpet treatment,10/13/2023,Politico,2
"new signs emerge of ‘widespread’ sexual crimes by hamas, as netanyahu alleges global indifference",12/6/2023,AP News,2
new uk extremism policy raises concerns over free speech,3/14/2024,New York Times,2
"new us-led red sea task force won’t stop shipping attacks, houthis say",12/19/2023,Washington Post,2
new video shows hamas fighters taking israeli soldiers hostage,5/22/2024,New York Times,2
new video suggests israeli-russian academic kidnapped in iraq is alive,11/13/2023,New York Times,2
new war hits home,10/10/2023,Politico,2
"new york city, for some jews, feels newly tense",12/20/2023,New York Times,2
new york democrat who sharply criticizes israel faces ouster threat,5/12/2024,CNN,2
"new york gov hochul arrives in israel in gesture of solidarity, meets with families of hostages",10/18/2023,AP News,2
new york governor condemns pro-palestinian rally,10/8/2023,Politico,2
new york marks the oct 7 anniversary with vigils and protests,10/7/2024,New York Times,2
new york times accused of racial targeting in leak hunt over israel stories,3/1/2024,Washington Post,2
new york times report says israel knew about hamas attack over a year in advance,12/1/2023,AP News,2
new york’s governor heads to israel on tuesday,10/16/2023,New York Times,2
new york’s president’s club,3/29/2024,Politico,2
"newborn babies, doctors and patients are trapped at a hospital in northern gaza",5/21/2024,New York Times,2
newborns die of hunger and mothers struggle to feed their children as israel’s siege condemns gazans to starvation,3/7/2024,CNN,2
news agency says idf killed journalist,12/7/2023,USATODAY,2
news emmys defend nomination of palestinian journalist,8/20/2024,New York Times,2
"news site editor’s ties to iran, russia show misinformation’s complexity",6/2/2024,Washington Post,2
newsom orders california officials to remove homeless encampments,7/25/2024,New York Times,2
newsom takes on desantis (and hannity),12/1/2023,Politico,2
next steps under un resolution on gaza aid remain unclear,12/23/2023,New York Times,2
"next to the stage, israel",5/11/2024,New York Times,2
nice soccer player atal will face trial dec 18 after sharing an antisemitic message on social media,11/24/2023,AP News,2
nikki haley bows out,3/6/2024,New York Times,2
nikki haley criticized for writing ‘finish them!’ on artillery shell in israel,5/30/2024,Washington Post,2
nikki haley writes 'finish them!' on israeli artillery shell,5/29/2024,USATODAY,2
"nikki haley, california rain, cease-fire in gaza, ruby franke, capital one, discover",2/21/2024,USATODAY,2
nikki haley: biden sent 'mixed messages' after airdropping aid in gaza,3/2/2024,USATODAY,2
nikki haley’s bold strategy to beat trump: play it safe,12/27/2023,New York Times,2
nikki haley’s hard ceiling,2/8/2024,Politico,2
"nine americans dead, more missing as israel declares war against hamas",10/8/2023,Washington Post,2
nj gov phil murphy calls for cease-fire in israel-hamas war,3/27/2024,USATODAY,2
nj may pull public investments from japanese company for cutting ties with israeli defense contractor,5/2/2024,Politico,2
nj politics to get even more salty,2/16/2024,Politico,2
nj residents in gaza talk about dire situation amid war ,10/12/2023,USATODAY,2
"no ‘temporary cease-fire’ without return of hostages, netanyahu says",11/3/2023,Washington Post,2
no 2 senate democrat says ‘killing has to stop’ in gaza,3/3/2024,CNN,2
"no alternative for rafah invasion, netanyahu says, as rift with us grows",3/19/2024,New York Times,2
no basis for claim israel said it abolished rules of war | fact check,10/16/2023,USATODAY,2
"no breakthrough emerges, but the talks are expected to continue on friday",8/15/2024,New York Times,2
no conditions on future israel aid despite biden’s ‘worthwhile thought’ quip,11/29/2023,Politico,2
no easy shelter solutions,3/7/2024,Politico,2
no evidence egypt fighting in hamas-israel war | fact check,10/24/2023,USATODAY,2
"no hostage release or fighting pause before friday, israel says",11/22/2023,New York Times,2
"no hostage release or fighting pause before friday, israel says",11/22/2023,New York Times,2
"no us hostages are expected to be released in the next round, an official says",11/25/2023,New York Times,2
no us plans to strike the houthis — yet,12/6/2023,Politico,2
no-shows and walkouts as israel-hamas war looms over crucial climate talks,12/2/2023,CNN,2
"no, the biden admin doesn’t want to strike inside iran",2/5/2024,Politico,2
"no, video does not prove idf tanks shot at israeli citizens | fact check",12/1/2023,USATODAY,2
noa argamani among 4 hostages rescued from gaza: live updates,6/8/2024,USATODAY,2
nods and nudges: how us is pressing israel to rein in gaza assault,12/18/2023,New York Times,2
nonstop mideast coverage of israel-hamas war pauses for protests and police action at us schools,5/2/2024,AP News,2
north carolina’s restrictions on public mask-wearing are now law after some key revisions,6/27/2024,AP News,2
"north korea test-fires missile with range to hit anywhere in us, japan says",12/18/2023,Axios,2
"northern gaza hospital shut, food trucks arrive",2/28/2024,USATODAY,2
"northern gaza is getting an influx of aid, the red crescent says",11/26/2023,New York Times,2
northern israel braces for more attacks from hezbollah,9/22/2024,New York Times,2
"norway, ireland and spain recognize palestinian state; israel condemns move",5/22/2024,Washington Post,2
"norway, ireland and spain say they will recognize a palestinian state, deepening israel’s isolation",5/23/2024,AP News,2
"not a priest, not a man, but ready to run fordham",1/28/2024,New York Times,2
not in my name:' jewish group denounces israel siege on ,10/16/2023,USATODAY,2
noted palestinian poet released by israel after two-day detention,11/21/2023,New York Times,2
"noting campus protests, democrats are preparing for intense action at their summer convention",5/7/2024,AP News,2
nova music festival attack remains on israeli's minds,1/23/2024,USATODAY,2
"november 1, 2023 israel-hamas war news",11/1/2023,CNN,2
"november 10, 2023 israel-hamas war",11/10/2023,CNN,2
"november 11, 2023 israel-hamas war",11/11/2023,CNN,2
"november 12, 2023 israel-hamas war",11/12/2023,CNN,2
"november 13, 2023 israel-hamas war",11/13/2023,CNN,2
"november 14, 2023 israel-hamas war",11/14/2023,CNN,2
"november 15, 2023 israel-hamas war",11/15/2023,CNN,2
"november 16, 2023 israel-hamas war",11/17/2023,CNN,2
"november 17, 2023 israel-hamas war",11/17/2023,CNN,2
"november 18, 2023 israel-hamas war",11/18/2023,CNN,2
"november 19, 2023 israel-hamas war",11/19/2023,CNN,2
"november 2, 2023 israel-hamas war news",11/3/2023,CNN,2
"november 20, 2023 israel-hamas war",11/20/2023,CNN,2
"november 21, 2023 israel-hamas war",11/21/2023,CNN,2
"november 22, 2023 israel-hamas war",11/22/2023,CNN,2
"november 23, 2023 israel-hamas war",11/23/2023,CNN,2
"november 24, 2023 israel-hamas war",5/29/2024,CNN,2
"november 25, 2023 israel-hamas war",11/25/2023,CNN,2
"november 26, 2023 israel-hamas war",5/29/2024,CNN,2
"november 27, 2023 israel-hamas war",5/29/2024,CNN,2
"november 28, 2023 israel-hamas war",5/29/2024,CNN,2
"november 29, 2023 israel-hamas war",11/29/2023,CNN,2
"november 3, 2023 israel-hamas war news",11/3/2023,CNN,2
"november 30, 2023 israel-hamas war",11/30/2023,CNN,2
"november 4, 2023 israel-hamas war news",11/4/2023,CNN,2
"november 5, 2023 israel-hamas war news",11/6/2023,CNN,2
"november 6, 2023 israel-hamas war",11/6/2023,CNN,2
"november 7, 2023 israel-hamas war",11/7/2023,CNN,2
"november 8, 2023 israel-hamas war",11/8/2023,CNN,2
"november 9, 2023 israel-hamas war",11/9/2023,CNN,2
"now freed, an israeli hostage describes the ‘hell’ of harrowing hamas attack and terrifying capture",10/24/2023,AP News,2
nowhere to hide in gaza as israeli onslaught continues,10/10/2023,New York Times,2
nsa officials call out chinese hackers’ stealthy and off-limits hacks,11/10/2023,Washington Post,2
ny officials visiting israel find themselves confronted with war,10/9/2023,New York Times,2
ny times writer quits over open letter accusing israel of ‘genocide’,11/4/2023,Washington Post,2
ny today: a field of casino dreams,10/31/2023,New York Times,2
ny today: andrew cuomo faces sex abuse suit from ex-aide who says he groped her,11/24/2023,New York Times,2
ny today: city council to vote on solitary confinement,12/18/2023,New York Times,2
ny today: election polling at a hamptons store,9/3/2024,New York Times,2
ny today: leading the one new york team that still has a shot at a title,10/19/2023,New York Times,2
ny today: mayor eric adams is indicted,9/25/2024,New York Times,2
nyc pro-palestine rally splits democrats over israel,10/8/2023,Politico,2
"nyc protesters demand israeli cease-fire, at least 200 detained after filling grand central station",10/28/2023,AP News,2
nyc's environmental inequalities,4/5/2024,Politico,2
nypd detains 34 pro-palestinian protesters at macy’s parade,11/24/2023,New York Times,2
nypd removes pro-palestinian protestors from columbia university campus,4/18/2024,Axios,2
obama urges israel to minimize civilian casualties in war with hamas,10/24/2023,Washington Post,2
"obama warns israeli operation in gaza may ""backfire"" if civilians aren't protected",10/23/2023,Axios,2
obama will take the stage in chicago,8/20/2024,New York Times,2
obamas electrify democrats at chicago convention,8/21/2024,Washington Post,2
"obamas, pritzker, duckworth in the limelight",8/21/2024,Politico,2
ocasio-cortez defends accusing israel of genocide in floor speech,3/24/2024,CNN,2
"ocasio-cortez, in house speech, accuses israel of ‘genocide’",3/22/2024,New York Times,2
"ocasio-cortez, once an outsider, takes center stage at convention",8/19/2024,New York Times,2
"oct 7 assaults, including sexual violence, could be crimes against humanity, 2 un experts say",1/8/2024,New York Times,2
"october 10, 2023 - israel-hamas war news",10/10/2023,CNN,2
"october 11, 2023 - israel-hamas war news",10/12/2023,CNN,2
"october 12, 2023 - israel-hamas war news",10/12/2023,CNN,2
"october 13, 2023 - israel-hamas war news",10/16/2023,CNN,2
"october 14, 2023 israel-hamas war news",10/14/2023,CNN,2
"october 15, 2023 israel-hamas war news",10/15/2023,CNN,2
"october 16, 2023 - israel-hamas war news",10/16/2023,CNN,2
"october 17, 2023 - israel-hamas war news",10/18/2023,CNN,2
